"Ключ";"Количество";"слов";"Частотность";"все";"регионы";"[!Частотность]";"все";"регионы";"Частотность";"по";"региону";"Частотность";"по";"региону";"[!Частотность]";"по";"региону";"Минимальная";"ставка";"в";"директе";"Результатов";"в";"выдаче";"Главных";"страниц";"в";"топ";10;"Главных";"страниц";"в";"топ";50;"Директ";"показы";"первый премиум";"Директ";"клики";"первый премиум";"Директ";"ставка";"первый премиум";"Директ";"бюджет";"первый премиум";"Директ";"ctr";"первый премиум";"Директ";"ставка";"по";"бюджету";"первый премиум";"Директ";"показы";"премиум";"Директ";"клики";"премиум";"Директ";"ставка";"премиум";"Директ";"бюджет";"премиум";"Директ";"ctr";"премиум";"Директ";"ставка";"по";"бюджету";"премиум";"Директ";"показы";"первый стандарт";"Директ";"клики";"первый стандарт";"Директ";"ставка";"первый стандарт";"Директ";"бюджет";"первый стандарт";"Директ";"ctr";"первый стандарт";"Директ";"ставка";"по";"бюджету";"первый стандарт";"Директ";"показы";"гарантия";"Директ";"клики";"гарантия";"Директ";"ставка";"гарантия";"Директ";"бюджет";"гарантия";"Директ";"ctr";"гарантия";"Директ";"ставка";"по";"бюджету";"гарантия"
"сертификация одежды";2;1666;124;413;51;57;"75,7";16000000;0;0;71;5;"3827,3";"823";"0,07039999961853027";"164,6";69;4;"888,6";"438";"0,058000001907348636";"109,5";49;2;"327,2";"8,2";"0,04079999923706055";"4,1";47;2;"75,7";"3,6";"0,042600002288818356";"1,8";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация детской одежды";3;432;98;89;32;32;"78,8";24000000;0;0;17;3;"2819,4";"292,8";"0,17649999618530274";"97,6";17;3;"2755";"292,8";"0,17649999618530274";"97,6";11;2;"279,7";"5";"0,1818000030517578";"2,5";11;2;"78,8";"1";"0,1818000030517578";"0,5";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды собственного производства";4;207;74;29;17;17;"76";22000000;0;0;8;2;"984,3";"107,4";"0,25";"53,7";8;2;"192,9";"32,21";"0,25";"16,11";3;2;"76";"0,2";"0,6666999816894531";"0,1";3;2;"76";"0,2";"0,6666999816894531";"0,1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сколько стоит сертификация одежды детских";5;16;9;10;9;9;"90,5";28000000;0;0;2;2;"696,4";"53";"1";"26,5";2;2;"90,5";"13";"1";"6,5";2;2;"138,3";"0,6";"1";"0,3";2;2;"138,3";"0,6";"1";"0,3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация детской одежды стоимость";4;46;14;8;8;7;"131,4";24000000;0;0;2;2;"2516,4";"177";"1";"88,5";2;2;"156,7";"20,2";"1";"10,1";2;2;"131,4";"0,6";"1";"0,3";2;2;"131,4";"0,6";"1";"0,3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация детской одежды в россии";5;38;19;7;5;5;"27,3";24000000;0;0;2;2;"962,5";"11,8";"1";"5,9";2;2;"39";"2,8";"1";"1,4";2;2;"27,3";"0,2";"1";"0,1";2;2;"27,3";"0,2";"1";"0,1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация санитарной одежды";3;10;5;5;0;5;"0,3";16000000;0;0;0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"обязательная сертификация одежды";3;160;5;38;4;4;"0,3";20000000;0;0;2;2;"2347,9";"3,8";"1";"1,9";2;2;"2317,3";"3,8";"1";"1,9";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды собственного производства цена";5;38;35;4;3;4;"83,1";22000000;0;0;5;2;"799,4";"102,8";"0,4";"51,4";4;2;"117,9";"18,2";"0,5";"9,1";2;2;"83,1";"0,8";"1";"0,4";2;2;"83,1";"0,8";"1";"0,4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды для ип";4;49;20;7;6;3;"41,3";17000000;0;0;3;2;"136,1";"7,2";"0,6666999816894531";"3,6";3;2;"68,2";"5";"0,6666999816894531";"2,5";2;2;"41,3";"0,2";"1";"0,1";2;2;"41,3";"0,2";"1";"0,1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"нужна ли сертификация на одежду";5;38;7;13;3;3;"35,1";15000000;0;0;2;2;"146,4";"7";"1";"3,5";2;2;"45,5";"1";"1";"0,5";2;2;"35,1";"0,2";"1";"0,1";2;2;"35,1";"0,2";"1";"0,1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды для новорожденных";4;23;19;3;3;3;"0,3";17000000;0;0;2;2;"116,1";"2,6";"1";"1,3";2;2;"76,3";"1";"1";"0,5";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"сертификация одежды стоимость";3;62;3;12;3;3;"0,3";18000000;0;0;2;2;"899";"24,6";"1";"12,3";2;2;"83";"8,2";"1";"4,1";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"какая одежда подлежит обязательной сертификации";5;12;4;5;4;3;"0,3";8000000;0;0;2;2;"96";"5";"1";"2,5";2;2;"96";"5";"1";"2,5";0;0;"0,3";"0";"0";"0";0;0;"0,3";"0";"0";"0";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
